ts	type	player	id	wood	food	gold	stone	name	wood_market	food_market	stone_market
1352	RESEARCH	4	22	0	0	50	0	Loom	100	100	130
1560	DE_QUEUE	8	83	0	50	0	0	Villager (Male)	100	100	130
1768	DE_QUEUE	4	83	0	50	0	0	Villager (Male)	100	100	130
1768	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
1976	DE_QUEUE	4	83	0	50	0	0	Villager (Male)	100	100	130
1976	DE_QUEUE	8	83	0	50	0	0	Villager (Male)	100	100	130
2184	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
2184	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
2392	DE_QUEUE	6	83	0	250	0	0	Villager (Male)	100	100	130
2600	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
2808	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
2808	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
3224	BUILD	8	70	25	0	0	0	House	100	100	130
3605	BUILD	4	70	25	0	0	0	House	100	100	130
5054	BUILD	1	70	25	0	0	0	House	100	100	130
5712	BUILD	6	70	25	0	0	0	House	100	100	130
5712	BUILD	8	70	25	0	0	0	House	100	100	130
5920	BUILD	1	70	25	0	0	0	House	100	100	130
7560	BUILD	6	70	25	0	0	0	House	100	100	130
7560	BUILD	7	70	25	0	0	0	House	100	100	130
7756	RESEARCH	1	22	0	0	50	0	Loom	100	100	130
8176	DE_QUEUE	1	83	0	50	0	0	Villager (Male)	100	100	130
8568	DE_QUEUE	1	83	0	50	0	0	Villager (Male)	100	100	130
8568	BUILD	2	70	25	0	0	0	House	100	100	130
8568	BUILD	7	70	25	0	0	0	House	100	100	130
8792	BUILD	4	70	25	0	0	0	House	100	100	130
9604	DE_QUEUE	5	83	0	50	0	0	Villager (Male)	100	100	130
9604	DE_QUEUE	8	83	0	50	0	0	Villager (Male)	100	100	130
10024	DE_QUEUE	5	83	0	50	0	0	Villager (Male)	100	100	130
10640	BUILD	2	70	25	0	0	0	House	100	100	130
11452	DE_QUEUE	2	83	0	50	0	0	Villager (Male)	100	100	130
11872	DE_QUEUE	2	83	0	50	0	0	Villager (Male)	100	100	130
12068	DE_QUEUE	2	83	0	50	0	0	Villager (Male)	100	100	130
12488	DE_QUEUE	2	83	0	50	0	0	Villager (Male)	100	100	130
12908	DE_QUEUE	2	83	0	50	0	0	Villager (Male)	100	100	130
13916	BUILD	7	70	25	0	0	0	House	100	100	130
15568	DE_QUEUE	1	83	0	50	0	0	Villager (Male)	100	100	130
15792	DE_QUEUE	1	83	0	50	0	0	Villager (Male)	100	100	130
19068	DE_QUEUE	8	83	0	50	0	0	Villager (Male)	100	100	130
19292	DE_QUEUE	4	83	0	50	0	0	Villager (Male)	100	100	130
25060	RESEARCH	3	22	0	0	50	0	Loom	100	100	130
30615	DE_QUEUE	5	83	0	50	0	0	Villager (Male)	100	100	130
30811	DE_QUEUE	5	83	0	50	0	0	Villager (Male)	100	100	130
31035	DE_QUEUE	5	83	0	50	0	0	Villager (Male)	100	100	130
39494	RESEARCH	7	22	0	0	50	0	Loom	100	100	130
51075	DE_QUEUE	3	83	0	50	0	0	Villager (Male)	100	100	130
51271	DE_QUEUE	3	83	0	50	0	0	Villager (Male)	100	100	130
81044	DE_QUEUE	4	83	0	50	0	0	Villager (Male)	100	100	130
90341	DE_QUEUE	3	83	0	50	0	0	Villager (Male)	100	100	130
90572	DE_QUEUE	3	83	0	50	0	0	Villager (Male)	100	100	130
95515	DE_QUEUE	2	83	0	50	0	0	Villager (Male)	100	100	130
99228	DE_QUEUE	5	83	0	50	0	0	Villager (Male)	100	100	130
100872	DE_QUEUE	8	83	0	50	0	0	Villager (Male)	100	100	130
109942	DE_QUEUE	7	83	0	50	0	0	Villager (Male)	100	100	130
113254	BUILD	4	562	100	0	0	0	Lumber Camp	100	100	130
113450	DE_QUEUE	3	83	0	50	0	0	Villager (Male)	100	100	130
113870	DE_QUEUE	1	83	0	50	0	0	Villager (Male)	100	100	130
114066	DE_QUEUE	1	83	0	50	0	0	Villager (Male)	100	100	130
117566	BUILD	6	562	100	0	0	0	Lumber Camp	100	100	130
